NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_COM13,VOTOS_IMPUGNADO_COM13,PORCENTAJE_IMPUGNADO_COM13
COMUNA 13,1013000134,6826,0,0.0
COMUNA 13,1013000135,9428,0,0.0
COMUNA 13,1013000136,11643,3,0.03
COMUNA 13,1013000137,10871,3,0.03
COMUNA 13,1013000138,22202,0,0.0
COMUNA 13,1013000139,14074,1,0.01
COMUNA 13,1013000140,6552,1,0.02
COMUNA 13,1013000141,11173,0,0.0
COMUNA 13,1013000142,18591,2,0.01
COMUNA 13,1013000143,13853,0,0.0
COMUNA 13,1013000144,6185,0,0.0
COMUNA 13,1013000145,11879,1,0.01
COMUNA 13,1013000146,8802,0,0.0
COMUNA 13,1013000147,15951,2,0.01
